Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/1000,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,1155,676,585,3,0.4,1,1,1,,
Albemarle County,51003,3303,632,191,3,0.5,3,,,,
Alleghany County,51005,455,69,152,0,,,,,,
Amelia County,51007,442,88,199,0,,,,,,
Amherst County,51009,1036,254,245,1,0.4,1,,,,
Appomattox County,51011,493,153,310,1,0.7,,1,,,
Arlington County,51013,7466,2093,280,2,0.1,2,,,,
Augusta County,51015,2249,531,236,0,,,,,,
Bath County,51017,92,42,457,0,,,,,,
Bedford County,51019,1904,231,121,0,,,,,,
Bland County,51021,165,27,164,0,,,,,,
Botetourt County,51023,896,128,143,1,0.8,1,,,,
Brunswick County,51025,508,175,344,3,1.7,1,,2,,
Buchanan County,51027,652,159,244,2,1.3,1,1,,,
Buckingham County,51029,584,152,260,1,0.7,1,,,,
Campbell County,51031,1783,289,162,0,,,,,,
Caroline County,51033,1188,253,213,0,,,,,,
Carroll County,51035,926,197,213,0,,,,,,
Charles City County,51036,165,22,133,0,,,,,,
Charlotte County,51037,438,139,317,2,1.4,2,,,,
Chesterfield County,51041,11511,2521,219,7,0.3,6,,1,,
Clarke County,51043,425,47,111,0,,,,,,
Craig County,51045,160,18,113,0,,,,,,
Culpeper County,51047,1904,712,374,0,,,,,,
Cumberland County,51049,385,99,257,0,,,,,,
Dickenson County,51051,515,76,148,0,,,,,,
Dinwiddie County,51053,933,75,80,0,,,,,,
Essex County,51057,389,73,188,0,,,,,,
Fairfax County,51059,43507,6986,161,17,0.2,10,3,4,,
Fauquier County,51061,2154,362,168,1,0.3,,1,,,
Floyd County,51063,495,18,36,0,,,,,,
Fluvanna County,51065,932,178,191,0,,,,,,
Franklin County,51067,1881,77,41,0,,,,,,
Frederick County,51069,2876,269,94,0,,,,,,
Giles County,51071,529,29,55,0,,,,,,
Gloucester County,51073,1089,113,104,0,,,,,,
Goochland County,51075,606,251,414,1,0.4,1,,,,
Grayson County,51077,416,84,202,1,1.2,1,,,,
Greene County,51079,772,130,168,0,,,,,,
Greensville County,51081,282,5,18,0,,,,,,
Halifax County,51083,1134,331,292,0,,,,,,
Hanover County,51085,3047,622,204,2,0.3,2,,,,
Henrico County,51087,12142,2735,225,1,0,1,,,,
Henry County,51089,1721,133,77,0,,,,,,
Highland County,51091,43,17,395,0,,,,,,
Isle of Wight County,51093,1067,251,235,0,,,,,,
James City County,51095,1985,161,81,1,0.6,,,1,,
King and Queen County,51097,212,24,113,0,,,,,,
King George County,51099,1093,171,156,0,,,,,,
King William County,51101,588,38,65,0,,,,,,
Lancaster County,51103,258,90,349,0,,,,,,
Lee County,51105,792,162,205,0,,,,,,
Loudoun County,51107,15955,1087,68,2,0.2,1,1,,,
Louisa County,51109,1213,243,200,0,,,,,,
Lunenburg County,51111,407,110,270,0,,,,,,
Madison County,51113,425,87,205,0,,,,,,
Mathews County,51115,223,49,220,0,,,,,,
Mecklenburg County,51117,924,337,365,5,1.5,4,,1,,
Middlesex County,51119,271,94,347,0,,,,,,
Montgomery County,51121,2625,75,29,0,,,,,,
Nelson County,51125,433,121,279,2,1.7,1,,1,,
New Kent County,51127,562,85,151,0,,,,,,
Northampton County,51131,411,223,543,1,0.4,1,,,,
Northumberland County,51133,310,90,290,2,2.2,,1,1,,
Nottoway County,51135,518,203,392,0,,,,,,
Orange County,51137,1152,322,280,1,0.3,1,,,,
Page County,51139,761,149,196,0,,,,,,
Patrick County,51141,535,137,256,0,,,,,,
Pittsylvania County,51143,1907,432,227,2,0.5,2,,,,
Powhatan County,51145,810,107,132,0,,,,,,
Prince Edward County,51147,621,329,530,0,,,,,,
Prince George County,51149,1161,84,72,0,,,,,,
Prince William County,51153,19497,2220,114,3,0.1,3,,,,
Pulaski County,51155,1041,235,226,1,0.4,,,,1,
Rappahannock County,51157,188,78,415,0,,,,,,
Richmond County,51159,230,66,287,0,,,,,,
Roanoke County,51161,2604,193,74,1,0.5,1,,,,
Rockbridge County,51163,603,56,93,0,,,,,,
Rockingham County,51165,2682,937,349,3,0.3,2,,1,,
Russell County,51167,916,128,140,0,,,,,,
Scott County,51169,696,216,310,1,0.5,1,,,,
Shenandoah County,51171,1455,157,108,2,1.3,1,1,,,
Smyth County,51173,1002,375,374,1,0.3,1,,,,
Southampton County,51175,566,98,173,0,,,,,,
Spotsylvania County,51177,4765,711,149,0,,,,,,
Stafford County,51179,5085,629,124,0,,,,,,
Surry County,51181,221,35,158,0,,,,,,
Sussex County,51183,326,86,264,0,,,,,,
Tazewell County,51185,1360,474,349,0,,,,,,
Warren County,51187,1366,132,97,0,,,,,,
Washington County,51191,1584,52,33,0,,,,,,
Westmoreland County,51193,527,132,250,0,,,,,,
Wise County,51195,1406,234,166,0,,,,,,
Wythe County,51197,907,232,256,0,,,,,,
York County,51199,2214,96,43,0,,,,,,
Alexandria,51510,6510,1608,247,1,0.1,1,,,,
Bedford,51515,245,123,502,0,,,,,,
Bristol,51520,659,73,111,0,,,,,,
Buena Vista,51530,257,19,74,0,,,,,,
Charlottesville,51540,1463,557,381,1,0.2,,,1,,
Chesapeake,51550,8444,1492,177,1,0.1,,,1,,
Colonial Heights,51570,569,140,246,1,0.7,1,,,,
Covington,51580,206,168,816,0,,,,,,
Danville,51590,1629,877,538,3,0.3,1,2,,,
Emporia,51595,244,95,389,0,,,,,,
Fairfax,51600,759,596,785,1,0.2,1,,,,
Falls Church,51610,487,147,302,0,,,,,,
Franklin,51620,380,141,371,0,,,,,,
Fredericksburg,51630,984,201,204,2,1,1,1,,,
Galax,51640,252,230,913,0,,,,,,
Hampton,51650,5379,943,175,3,0.3,2,1,,,
Harrisonburg,51660,1488,288,194,0,,,,,,
Hopewell,51670,1073,225,210,0,,,,,,
Lexington,51678,111,37,333,0,,,,,,
Lynchburg,51680,2805,1042,371,6,0.6,5,,1,,
Manassas,51683,1892,848,448,1,0.1,1,,,,
Manassas Park,51685,777,345,444,0,,,,,,
Martinsville,51690,517,83,161,0,,,,,,
Newport News,51700,8220,1497,182,9,0.6,3,2,4,,
Norfolk,51710,10274,2718,265,6,0.2,1,2,2,1,
Norton,51720,160,52,325,0,,,,,,
Petersburg,51730,1316,390,296,3,0.8,2,,1,,
Poquoson,51735,299,26,87,0,,,,,,
Portsmouth,51740,4244,919,217,6,0.7,3,3,,,
Radford,51750,360,35,97,0,,,,,,
Richmond,51760,8003,3224,403,21,0.7,11,4,6,,
Roanoke,51770,4345,546,126,3,0.5,3,,,,
Salem,51775,704,132,188,0,,,,,,
Staunton,51790,811,538,663,0,,,,,,
Suffolk,51800,3446,1066,309,4,0.4,2,1,1,,
Virginia Beach,51810,17628,2240,127,2,0.1,2,,,,
Waynesboro,51820,931,569,611,3,0.5,2,,1,,
Williamsburg,51830,264,2,8,0,,,,,,
Winchester,51840,1096,241,220,2,0.8,1,,1,,
Unknown *,,,3708,,,0,,,,,
Virginia,,303439,63285,209,156,0.2,95,26,33,2,0
