Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,2371,816,3,0.4,1,1,1,,
Albemarle County,51003,6687,768,3,0.4,3,,,,
Alleghany County,51005,957,94,0,,,,,,
Amelia County,51007,876,144,1,0.7,,1,,,
Amherst County,51009,2101,362,1,0.3,1,,,,
Appomattox County,51011,993,230,1,0.4,,1,,,
Arlington County,51013,13798,2683,3,0.1,3,,,,
Augusta County,51015,4715,791,0,,,,,,
Bath County,51017,196,64,0,,,,,,
Bedford County,51019,4201,288,0,,,,,,
Bland County,51021,353,54,0,,,,,,
Botetourt County,51023,2011,213,1,0.5,1,,,,
Brunswick County,51025,1024,336,4,1.2,2,,2,,
Buchanan County,51027,1343,326,2,0.6,1,1,,,
Buckingham County,51029,1089,220,1,0.5, ,,1,,
Campbell County,51031,3621,391,0,,,,,,
Caroline County,51033,2417,372,0,,,,,,
Carroll County,51035,1916,220,0,,,,,,
Charles City County,51036,368,41,0,,,,,,
Charlotte County,51037,858,166,2,1.2,2,,,,
Chesterfield County,51041,24257,4211,9,0.2,6,1,2,,
Clarke County,51043,927,64,0,,,,,,
Craig County,51045,319,29,0,,,,,,
Culpeper County,51047,3990,1143,0,,,,,,
Cumberland County,51049,727,131,1,0.8,1,,,,
Dickenson County,51051,1037,139,0,,,,,,
Dinwiddie County,51053,1919,139,0,,,,,,
Essex County,51057,796,127,0,,,,,,
Fairfax County,51059,87623,11038,24,0.2,12,6,5,1,
Fauquier County,51061,4684,520,5,1,3,2,,,
Floyd County,51063,1033,36,0,,,,,,
Fluvanna County,51065,1954,201,0,,,,,,
Franklin County,51067,3721,126,0,,,,,,
Frederick County,51069,6046,370,0,,,,,,
Giles County,51071,1114,60,0,,,,,,
Gloucester County,51073,2259,173,0,,,,,,
Goochland County,51075,1247,397,3,0.8,1,,2,,
Grayson County,51077,825,105,1,1,1,,,,
Greene County,51079,1592,204,0,,,,,,
Greensville County,51081,596,14,0,,,,,,
Halifax County,51083,2409,431,0,,,,,,
Hanover County,51085,6775,997,3,0.3,3,,,,
Henrico County,51087,24540,4360,6,0.1,3,,3,,
Henry County,51089,3537,175,0,,,,,,
Highland County,51091,85,25,0,,,,,,
