Year,< 72 Months of Age 10 - 14 µg/dL,< 72 Months of Age 15 - 19 µg/dL,< 72 Months of Age 20 - 44 µg/dL,< 72 Months of Age 45 - 69 µg/dL,< 72 Months of Age ≥ 70 µg/dL,< 72 Months of Age Total
2001,138,65,51,3,0,257
2002,236,84,63,7,0,390
2003,242,72,60,3,3,379
2004,317,69,66,6,2,460
2005,287,70,47,6,1,404
2007,223,70,52,1,0,346
2006,299,58,67,6,0,432
2007,216,68,52,1,0,337
2008,237,79,58,3,0,377
2009,286,63,61,7,0,417
2010,206,53,62,3,0,324
2011,152,43,56,3,0,254
2012,89,33,32,1,0,155
