"Summary of Environmental Investigations, Children < 72 Months of Age: Virginia, 2008",Total
Number of EBLLs 20 µg/dl or above,61
Number of EBLLs persistent 15-19µg/dl,25
"Number of environmental intervention blood lead investigations (EIBLI) 
required",66
"Number of environmental investigations performed  (Includes secondary 
addresses)",120
"Number of EIBLI not performed (5-refused services, 2-moved out of state, 
1 referred to DHCD )",8
Number of “newcomer/refugee” children with EBLL requiring EIBLI,11
Lead dust hazard on floors,108
Lead dust hazard on window sills,157
Deteriorated lead based paint on exterior surfaces,109
Deteriorated lead based paint on interior surfaces,301
Soil lead hazards identified (children’s play area),20
Soil lead hazards identified (non play areas),16
Lead in water above 15 ppb (private wells-3; plumbing -5),8
Occupational exposure from parent (construction worker),1
Mini blinds,7
"Home/folk remedies (kohl, eye-liner from Morocco)",4
"Furniture (1-bookcase, 3-bathtub glaze, 4-radiator, 1-bird bath)",9
Toys (matchbox car),1
Consignment shop (beaded homemade bracelet),1
Bullet (oral),1
Clothing (zipper on a sweatshirt),1
Reported exposure from renovation activities,1
