Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,"2,792",801,9,1.10%,6,2,1,0,0
Albemarle County,51003,"6,000",607,2,0.30%,1,0,1,0,0
Alleghany County,51005,905,35,1,2.90%,1,0,0,0,0
Amelia County,51007,870,97,0,0.00%,0,0,0,0,0
Amherst County,51009,"2,234",3,1,33.30%,1,0,0,0,0
Appomattox County,51011,"1,047",166,0,0.00%,0,0,0,0,0
Arlington County,51013,"12,144","2,740",5,0.20%,2,3,0,0,0
Augusta County,51015,"4,521",388,1,0.30%,1,0,0,0,0
Bath County,51017,279,16,1,6.30%,0,0,1,0,0
Bedford County,51019,"4,290",359,0,0.00%,0,0,0,0,0
Bland County,51021,379,72,0,0.00%,0,0,0,0,0
Botetourt County,51023,"2,107",270,0,0.00%,0,0,0,0,0
Brunswick County,51025,"1,124",299,1,0.30%,1,0,0,0,0
Buchanan County,51027,"1,583",271,1,0.40%,1,0,0,0,0
Buckingham County,51029,926,131,1,0.80%,1,0,0,0,0
Campbell County,51031,"3,678",412,3,0.70%,2,0,1,0,0
Caroline County,51033,"1,690",294,2,0.70%,1,0,1,0,0
Carroll County,51035,"1,998",198,0,0.00%,0,0,0,0,0
Charles City County,51036,472,47,0,0.00%,0,0,0,0,0
Charlotte County,51037,863,128,2,1.60%,2,0,0,0,0
Chesterfield County,51041,"21,322","2,778",6,0.20%,4,1,1,0,0
Clarke County,51043,835,88,0,0.00%,0,0,0,0,0
Craig County,51045,356,38,0,0.00%,0,0,0,0,0
Culpeper County,51047,"2,660",335,1,0.30%,0,1,0,0,0
Cumberland County,51049,689,62,0,0.00%,0,0,0,0,0
Dickenson County,51051,"1,038",50,0,0.00%,0,0,0,0,0
Dinwiddie County,51053,"1,650",111,1,0.90%,0,1,0,0,0
Essex County,51057,635,75,1,1.30%,1,0,0,0,0
Fairfax County,51059,"81,675","8,964",22,0.20%,13,7,2,0,0
Fauquier County,51061,"4,256",356,0,0.00%,0,0,0,0,0
Floyd County,51063,950,63,0,0.00%,0,0,0,0,0
Fluvanna County,51065,"1,567",33,0,0.00%,0,0,0,0,0
Franklin County,51067,"3,147",204,3,1.50%,2,1,0,0,0
Frederick County,51069,"4,657",468,0,0.00%,0,0,0,0,0
Giles County,51071,"1,138",118,0,0.00%,0,0,0,0,0
Gloucester County,51073,"2,483",109,0,0.00%,0,0,0,0,0
Goochland County,51075,"1,044",285,2,0.70%,1,1,0,0,0
Grayson County,51077,"1,061",72,0,0.00%,0,0,0,0,0
Greene County,51079,"1,372",13,0,0.00%,0,0,0,0,0
Greensville County,51081,528,5,0,0.00%,0,0,0,0,0
Halifax County,51083,"2,714",165,2,1.20%,1,1,0,0,0
Hanover County,51085,"6,872",813,3,0.40%,3,0,0,0,0
Henrico County,51087,"21,575","3,314",15,0.50%,12,1,2,0,0
Henry County,51089,"3,911",171,1,0.60%,0,1,0,0,0
Highland County,51091,112,18,0,0.00%,0,0,0,0,0
Isle of Wight County,51093,"2,190",198,1,0.50%,0,1,0,0,0
James City County,51095,"3,307",771,2,0.30%,2,0,0,0,0
King and Queen County,51097,451,44,0,0.00%,0,0,0,0,0
King George County,51099,"1,510",135,1,0.70%,0,0,1,0,0
King William County,51101,"1,121",130,1,0.80%,1,0,0,0,0
Lancaster County,51103,577,109,0,0.00%,0,0,0,0,0
Lee County,51105,"1,648",241,1,0.40%,1,0,0,0,0
Loudoun County,51107,"19,682","1,950",2,0.10%,1,0,1,0,0
Louisa County,51109,"1,904",196,1,0.50%,1,0,0,0,0
Lunenburg County,51111,784,176,2,1.10%,1,0,1,0,0
Madison County,51113,864,12,1,8.30%,0,0,1,0,0
Mathews County,51115,504,59,1,1.70%,1,0,0,0,0
Mecklenburg County,51117,"2,093",465,5,1.10%,3,0,2,0,0
Middlesex County,51119,452,76,1,1.30%,1,0,0,0,0
Montgomery County,51121,"4,758",267,1,0.40%,0,0,1,0,0
Nelson County,51125,927,113,0,0.00%,0,0,0,0,0
New Kent County,51127,867,158,2,1.30%,2,0,0,0,0
Northampton County,51131,658,239,4,1.70%,1,3,0,0,0
Northumberland County,51133,"1,057",91,0,0.00%,0,0,0,0,0
Nottoway County,51135,"1,856",190,4,2.10%,4,0,0,0,0
Orange County,51137,"1,599",104,1,1.00%,1,0,0,0,0
Page County,51139,"1,359",197,1,0.50%,1,0,0,0,0
Patrick County,51141,"4,194",157,1,0.60%,0,0,1,0,0
Pittsylvania County,51143,"1,589",551,0,0.00%,0,0,0,0,0
Powhatan County,51145,"1,178",133,0,0.00%,0,0,0,0,0
Prince Edward County,51147,"2,402",288,1,0.30%,1,0,0,0,0
Prince George County,51149,"28,789",112,0,0.00%,0,0,0,0,0
Prince William County,51153,"2,339","2,742",3,0.10%,3,0,0,0,0
Pulaski County,51155,420,407,1,0.20%,0,0,1,0,0
Rappahannock County,51157,430,57,0,0.00%,0,0,0,0,0
Richmond County,51159,"5,587",56,0,0.00%,0,0,0,0,0
Roanoke County,51161,867,368,0,0.00%,0,0,0,0,0
Rockbridge County,51163,"1,351",51,0,0.00%,0,0,0,0,0
