Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/1000^,Number Confired Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70 µg/dL
Accomack County,51001,1401,461,329,0,0.0,0,0,0,0,0
Albemarle County,51003,2965,216,73,1,0.5,1,0,0,0,0
Alleghany County,51005,428,23,54,1,4.3,1,0,0,0,0
Amelia County,51007,423,37,87,1,2.7,0,1,0,0,0
Amherst County,51009,1055,78,74,1,1.3,1,0,0,0,0
Appomattox County,51011,500,45,90,0,0.0,0,0,0,0,0
Arlington County,51013,6564,1695,258,3,0.2,3,0,0,0,0
Augusta County,51015,2197,244,111,0,0.0,0,0,0,0,0
Bath County,51017,131,14,107,0,0.0,0,0,0,0,0
Bedford County,51019,1996,95,48,0,0.0,0,0,0,0,0
Bland County,51021,173,12,69,0,0.0,0,0,0,0,0
Botetourt County,51023,1055,191,181,1,0.5,1,0,0,0,0
Brunswick County,51025,546,55,101,1,1.8,1,0,0,0,0
Buchanan County,51027,738,100,136,0,0.0,0,0,0,0,0
Buckingham County,51029,419,59,141,0,0.0,0,0,0,0,0
Campbell County,51031,1748,71,41,2,2.8,2,0,0,0,0
Caroline County,51033,858,174,203,0,0.0,0,0,0,0,0
Carroll County,51035,992,104,105,1,1.0,1,0,0,0,0
Charles City County,51036,242,24,99,0,0.0,0,0,0,0,0
Charlotte County,51037,398,94,236,0,0.0,0,0,0,0,0
Chesterfield County,51041,10159,921,91,4,0.4,3,1,0,0,0
Clarke County,51043,369,10,27,0,0.0,0,0,0,0,0
Craig County,51045,163,25,153,0,0.0,0,0,0,0,0
Culpeper County,51047,1315,211,160,0,0.0,0,0,0,0,0
Cumberland County,51049,350,38,109,0,0.0,0,0,0,0,0
Dickenson County,51051,535,41,77,0,0.0,0,0,0,0,0
Dinwiddie County,51053,786,40,51,0,0.0,0,0,0,0,0
Essex County,51057,314,35,111,0,0.0,0,0,0,0,0
Fairfax County,51059,40580,3363,83,8,0.2,5,1,2,0,0
Fauquier County,51061,2048,86,42,1,1.2,1,0,0,0,0
Floyd County,51063,462,44,95,1,2.3,1,0,0,0,0
Fluvanna County,51065,762,90,118,0,0.0,0,0,0,0,0
Franklin County,51067,1520,85,56,0,0.0,0,0,0,0,0
Frederick County,51069,2296,56,24,2,3.6,2,0,0,0,0
Giles County,51071,581,23,40,0,0.0,0,0,0,0,0
Gloucester County,51073,1141,25,22,0,0.0,0,0,0,0,0
Goochland County,51075,492,84,171,0,0.0,0,0,0,0,0
Grayson County,51077,507,38,75,0,0.0,0,0,0,0,0
Greene County,51079,668,50,75,0,0.0,0,0,0,0,0
Greensville County,51081,261,0,0,0,0.0,0,0,0,0,0
Halifax County,51083,1323,149,113,1,0.7,0,1,0,0,0
Hanover County,51085,3290,318,97,3,0.9,2,0,1,0,0
Henrico County,51087,10648,1401,132,18,1.3,10,5,3,0,0
Henry County,51089,1920,71,37,2,2.8,1,1,0,0,0
Highland County,51091,58,8,138,0,0.0,0,0,0,0,0
Isle of Wight County,51093,1047,163,156,0,0.0,0,0,0,0,0
James City County,51095,1597,89,56,0,0.0,0,0,0,0,0
King and Queen County,51097,220,18,82,0,0.0,0,0,0,0,0
King George County,51099,715,39,55,0,0.0,0,0,0,0,0
King William County,51101,517,25,48,0,0.0,0,0,0,0,0
Lancaster County,51103,286,62,217,0,0.0,0,0,0,0,0
Lee County,51105,808,102,126,0,0.0,0,0,0,0,0
Loudoun County,51107,9919,508,51,3,0.6,2,0,0,1,0
Louisa County,51109,939,52,55,0,0.0,0,0,0,0,0
Lunenburg County,51111,393,72,183,1,1.4,1,0,0,0,0
Madison County,51113,391,25,64,0,0.0,0,0,0,0,0
Mathews County,51115,230,12,52,0,0.0,0,0,0,0,0
Mecklenburg County,51117,1033,106,103,3,2.8,3,0,0,0,0
Middlesex County,51119,211,36,171,0,0.0,0,0,0,0,0
Montgomery County,51121,2421,138,57,0,0.0,0,0,0,0,0
Nelson County,51125,469,48,102,4,8.3,4,0,0,0,0
New Kent County,51127,420,55,131,0,0.0,0,0,0,0,0
Northampton County,51131,437,217,497,5,2.3,4,0,1,0,0
Northumberland County,51133,317,52,164,0,0.0,0,0,0,0,0
Nottoway County,51135,517,80,155,1,1.3,0,1,0,0,0
Orange County,51137,918,99,108,0,0.0,0,0,0,0,0
Page County,51139,756,65,86,0,0.0,0,0,0,0,0
Patrick County,51141,675,96,142,0,0.0,0,0,0,0,0
Pittsylvania County,51143,2100,199,95,0,0.0,0,0,0,0,0
Powhatan County,51145,786,50,64,1,2.0,1,0,0,0,0
Prince Edward County,51147,573,149,260,1,0.7,1,0,0,0,0
Prince George County,51149,1159,33,28,0,0.0,0,0,0,0,0
Prince William County,51153,14421,655,45,0,0.0,0,0,0,0,0
Pulaski County,51155,1149,55,48,0,0.0,0,0,0,0,0
Rappahannock County,51157,217,18,83,0,0.0,0,0,0,0,0
Richmond County,51159,213,43,202,0,0.0,0,0,0,0,0
Roanoke County,51161,2627,256,97,2,0.8,2,0,0,0,0
Rockbridge County,51163,681,27,40,0,0.0,0,0,0,0,0
