Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/100,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10/14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70 µg/dL
Accomack County,51001,"1,401",580,414,2,0.30%,0,1,1,0,0
Albemarle County,51003,"2,965",438,148,2,0.50%,1,0,1,0,0
Alleghany County,51005,428,75,175,0,0.00%,0,0,0,0,0
Amelia County,51007,423,48,113,0,0.00%,0,0,0,0,0
Amherst County,51009,"1,055",186,176,1,0.50%,1,0,0,0,0
Appomattox County,51011,500,92,184,0,0.00%,0,0,0,0,0
Arlington County,51013,"6,564","1,640",250,5,0.30%,4,1,0,0,0
Augusta County,51015,"2,197",187,85,0,0.00%,0,0,0,0,0
Bath County,51017,131,15,115,0,0.00%,0,0,0,0,0
Bedford County,51019,"1,996",205,103,0,0.00%,0,0,0,0,0
Bland County,51021,173,24,139,0,0.00%,0,0,0,0,0
Botetourt County,51023,"1,055",191,181,0,0.00%,0,0,0,0,0
Brunswick County,51025,546,109,200,0,0.00%,0,0,0,0,0
Buchanan County,51027,738,136,184,1,0.70%,0,1,0,0,0
Buckingham County,51029,419,89,212,1,1.10%,0,0,1,0,0
Campbell County,51031,"1,748",214,122,0,0.00%,0,0,0,0,0
Caroline County,51033,858,226,263,5,2.20%,4,1,0,0,0
Carroll County,51035,992,134,135,0,0.00%,0,0,0,0,0
Charles City County,51036,242,30,124,0,0.00%,0,0,0,0,0
Charlotte County,51037,398,84,211,4,4.80%,3,1,0,0,0
Chesterfield County,51041,"10,159","1,331",131,3,0.20%,0,2,1,0,0
Clarke County,51043,369,27,73,0,0.00%,0,0,0,0,0
Craig County,51045,163,12,74,0,0.00%,0,0,0,0,0
Culpeper County,51047,"1,315",403,306,0,0.00%,0,0,0,0,0
Cumberland County,51049,350,33,94,0,0.00%,0,0,0,0,0
Dickenson County,51051,535,43,80,0,0.00%,0,0,0,0,0
Dinwiddie County,51053,786,58,74,1,1.70%,1,0,0,0,0
Essex County,51057,314,31,99,1,3.20%,1,0,0,0,0
Fairfax County,51059,"40,580","4,177",103,8,0.20%,3,2,3,0,0
Fauquier County,51061,"2,048",177,86,1,0.60%,0,0,1,0,0
Floyd County,51063,462,26,56,0,0.00%,0,0,0,0,0
Fluvanna County,51065,762,112,147,0,0.00%,0,0,0,0,0
Franklin County,51067,"1,520",100,66,0,0.00%,0,0,0,0,0
Frederick County,51069,"2,296",254,111,0,0.00%,0,0,0,0,0
Giles County,51071,581,48,83,0,0.00%,0,0,0,0,0
Gloucester County,51073,"1,141",48,42,0,0.00%,0,0,0,0,0
Goochland County,51075,492,168,341,3,1.80%,2,1,0,0,0
Grayson County,51077,507,44,87,0,0.00%,0,0,0,0,0
Greene County,51079,668,88,132,1,1.10%,0,0,1,0,0
Greensville County,51081,261,2,8,0,0.00%,0,0,0,0,0
Halifax County,51083,"1,323",115,87,1,0.90%,1,0,0,0,0
Hanover County,51085,"3,290",431,131,2,0.50%,1,0,1,0,0
Henrico County,51087,"10,648","1,652",155,10,0.60%,8,2,0,0,0
Henry County,51089,"1,920",93,48,0,0.00%,0,0,0,0,0
Highland County,51091,58,4,69,0,0.00%,0,0,0,0,0
Isle of Wight County,51093,"1,047",141,135,3,2.10%,2,1,0,0,0
James City County,51095,"1,597",242,152,0,0.00%,0,0,0,0,0
King and Queen County,51097,220,18,82,0,0.00%,0,0,0,0,0
King George County,51099,715,80,112,2,2.50%,1,0,1,0,0
King William County,51101,517,44,85,1,2.30%,1,0,0,0,0
Lancaster County,51103,286,43,150,0,0.00%,0,0,0,0,0
Lee County,51105,808,91,113,1,1.10%,0,1,0,0,0
Loudoun County,51107,"9,919",762,77,0,0.00%,0,0,0,0,0
Louisa County,51109,939,155,165,0,0.00%,0,0,0,0,0
Lunenburg County,51111,393,68,173,0,0.00%,0,0,0,0,0
Madison County,51113,391,52,133,0,0.00%,0,0,0,0,0
Mathews County,51115,230,11,48,0,0.00%,0,0,0,0,0
Mecklenburg County,51117,"1,033",170,165,5,2.90%,4,0,1,0,0
Middlesex County,51119,211,16,76,0,0.00%,0,0,0,0,0
Montgomery County,51121,"2,421",181,75,0,0.00%,0,0,0,0,0
Nelson County,51125,469,72,154,0,0.00%,0,0,0,0,0
New Kent County,51127,420,68,162,0,0.00%,0,0,0,0,0
Northampton County,51131,437,161,368,1,0.60%,1,0,0,0,0
Northumberland County,51133,317,29,91,0,0.00%,0,0,0,0,0
Nottoway County,51135,517,92,178,0,0.00%,0,0,0,0,0
Orange County,51137,918,225,245,1,0.40%,1,0,0,0,0
Page County,51139,756,124,164,1,0.80%,1,0,0,0,0
Patrick County,51141,675,101,150,0,0.00%,0,0,0,0,0
Pittsylvania County,51143,"2,100",246,117,2,0.80%,2,0,0,0,0
Powhatan County,51145,786,61,78,0,0.00%,0,0,0,0,0
Prince Edward County,51147,573,160,279,0,0.00%,0,0,0,0,0
Prince George County,51149,"1,159",58,50,0,0.00%,0,0,0,0,0
Prince William County,51153,"14,421","1,260",87,1,0.10%,1,0,0,0,0
Pulaski County,51155,"1,149",119,104,0,0.00%,0,0,0,0,0
Rappahannock County,51157,217,31,143,2,6.50%,2,0,0,0,0
Richmond County,51159,213,25,117,0,0.00%,0,0,0,0,0
Roanoke County,51161,"2,627",236,90,0,0.00%,0,0,0,0,0
Rockbridge County,51163,681,13,19,0,0.00%,0,0,0,0,0
Rockingham County,51165,"2,512",807,321,0,0.00%,0,0,0,0,0
Russell County,51167,919,164,178,1,0.60%,1,0,0,0,0
Scott County,51169,708,21,30,2,9.50%,1,1,0,0,0
Shenandoah County,51171,"1,126",196,174,1,0.50%,1,0,0,0,0
Smyth County,51173,"1,064",260,244,1,0.40%,1,0,0,0,0
Southampton County,51175,532,44,83,2,4.50%,0,1,1,0,0
Spotsylvania County,51177,"4,013",311,77,0,0.00%,0,0,0,0,0
Stafford County,51179,"4,089",187,46,0,0.00%,0,0,0,0,0
Surry County,51181,230,27,117,1,3.70%,0,1,0,0,0
Sussex County,51183,375,44,117,1,2.30%,1,0,0,0,0
Tazewell County,51185,"1,358",393,289,0,0.00%,0,0,0,0,0
Warren County,51187,"1,255",90,72,1,1.10%,0,1,0,0,0
Washington County,51191,"1,565",144,92,0,0.00%,0,0,0,0,0
Westmoreland County,51193,551,53,96,1,1.90%,1,0,0,0,0
Wise County,51195,"1,382",75,54,2,2.70%,2,0,0,0,0
Wythe County,51197,899,165,184,1,0.60%,1,0,0,0,0
York County,51199,"2,021",54,27,0,0.00%,0,0,0,0,0
Alexandria,51510,"5,177","1,017",196,3,0.30%,3,0,0,0,0
Bedford,51515,211,73,346,0,0.00%,0,0,0,0,0
Bristol,51520,557,48,86,2,4.20%,1,0,1,0,0
Buena Vista,51530,231,4,17,0,0.00%,0,0,0,0,0
Charlottesville,51540,"1,237",388,314,1,0.30%,1,0,0,0,0
Chesapeake,51550,"8,475",563,66,5,0.90%,3,1/1/2000,0,,
Colonial Heights,51570,517,79,153,0,0.00%,0,0,0,0,0
Covington,51580,216,76,352,0,0.00%,0,0,0,0,0
Danville,51590,"1,747",420,240,8,1.90%,5,2,1,0,0
Emporia,51595,216,31,144,0,0.00%,0,0,0,0,0
Fairfax,51600,807,327,405,1,0.30%,1,0,0,0,0
Falls Church,51610,344,88,256,0,0.00%,0,0,0,0,0
Franklin,51620,263,60,228,0,0.00%,0,0,0,0,0
Fredericksburg,51630,710,89,125,2,2.20%,1,1,0,0,0
Galax,51640,275,137,498,0,0.00%,0,0,0,0,0
Hampton,51650,"5,595",687,123,6,0.90%,4,0 2 0,0,,
Harrisonburg,51660,"1,208",310,257,1,0.30%,0,1,0,0,0
Hopewell,51670,986,144,146,2,1.40%,2,0,0,0,0
Lexington,51678,113,10,88,1,10.00%,1,0,0,0,0
Lynchburg,51680,"2,297",690,300,1,0.10%,1,0,0,0,0
Manassas,51683,"1,817",717,395,0,0.00%,0,0,0,0,0
Manassas Park,51685,635,299,471,1,0.30%,1,0,0,0,0
Martinsville,51690,529,56,106,0,0.00%,0,0,0,0,0
Newport News,51700,"8,617","1,132",131,5,0.40%,3,1,1,0,0
Norfolk,51710,"10,201","1,479",145,15,1.00%,9,2,4,0,0
Norton,51720,116,9,78,0,0.00%,0,0,0,0,0
Petersburg,51730,"1,313",212,161,7,3.30%,5,0,2,0,0
Poquoson,51735,344,11,32,0,0.00%,0,0,0,0,0
Portsmouth,51740,"4,374",634,145,5,0.80%,5,0,0,0,0
Radford,51750,357,36,101,0,0.00%,0,0,0,0,0
Richmond,51760,"7,608","2,081",274,38,1.80%,18,16,4,0,0
Roanoke,51770,"3,837",814,212,15,1.80%,7,5,3,0,0
Salem,51775,671,199,297,1,0.50%,0,1,0,0,0
Staunton,51790,775,182,235,3,1.60%,2,1,0,0,0
Suffolk,51800,"2,740",586,214,5,0.90%,2,2,0,1,0
Virginia Beach,51810,"18,395",749,41,0,0.00%,0,0,0,0,0
Waynesboro,51820,786,87,111,1,1.10%,1,0,0,0,0
Williamsburg,51830,195,6,31,0,0.00%,0,0,0,0,0
Winchester,51840,853,149,175,2,1.30%,1,1,0,0,0
Unknown *,,,"11,669",,0,0.00%,0,0,0,0,0
VIRGINIA,,"276,483","48,718",176,217,0.40%,132,52,32,1,0
