,,,,,,,,,,
Accomack County,51001,"2,792",754,2,0.30%,0,1,1,0,0
Albemarle County,51003,"6,000",637,2,0.30%,1,0,1,0,0
Alleghany County,51005,905,129,0,0.00%,0,0,0,0,0
Amelia County,51007,870,124,0,0.00%,0,0,0,0,0
Amherst County,51009,"2,234",254,1,0.40%,1,0,0,0,0
Appomattox County,51011,"1,047",124,0,0.00%,0,0,0,0,0
Arlington County,51013,"12,144","2,238",6,0.30%,5,1,0,0,0
Augusta County,51015,"4,521",278,0,0.00%,0,0,0,0,0
Bath County,51017,279,29,0,0.00%,0,0,0,0,0
Bedford County,51019,"4,290",315,1,0.30%,1,0,0,0,0
Bland County,51021,379,46,0,0.00%,0,0,0,0,0
Botetourt County,51023,"2,107",369,0,0.00%,0,0,0,0,0
Brunswick County,51025,"1,124",301,0,0.00%,0,0,0,0,0
Buchanan County,51027,"1,583",271,1,0.40%,0,1,0,0,0
Buckingham County,51029,926,149,1,0.70%,0,0,1,0,0
Campbell County,51031,"3,678",299,0,0.00%,0,0,0,0,0
Caroline County,51033,"1,690",338,6,1.80%,5,1,0,0,0
Carroll County,51035,"1,998",175,0,0.00%,0,0,0,0,0
Charles City County,51036,472,57,0,0.00%,0,0,0,0,0
Charlotte County,51037,863,151,5,3.30%,4,1,0,0,0
Chesterfield County,51041,"21,322","2,449",7,0.30%,2,2,3,0,0
Clarke County,51043,835,64,0,0.00%,0,0,0,0,0
Craig County,51045,356,39,0,0.00%,0,0,0,0,0
Culpeper County,51047,"2,660",502,0,0.00%,0,0,0,0,0
Cumberland County,51049,689,63,0,0.00%,0,0,0,0,0
Dickenson County,51051,"1,038",89,0,0.00%,0,0,0,0,0
Dinwiddie County,51053,"1,650",173,1,0.60%,1,0,0,0,0
Essex County,51057,635,77,2,2.60%,1,1,0,0,0
Fairfax County,51059,"81,675","7,751",13,0.20%,6,4,3,0,0
Fauquier County,51061,"4,256",320,2,0.60%,0,0,2,0,0
Floyd County,51063,950,63,0,0.00%,0,0,0,0,0
Fluvanna County,51065,"1,567",152,0,0.00%,0,0,0,0,0
Franklin County,51067,"3,147",224,0,0.00%,0,0,0,0,0
Frederick County,51069,"4,657",533,1,0.20%,1,0,0,0,0
Giles County,51071,"1,138",101,1,1.00%,1,0,0,0,0
Gloucester County,51073,"2,483",92,0,0.00%,0,0,0,0,0
Goochland County,51075,"1,044",260,3,1.20%,2,1,0,0,0
Grayson County,51077,"1,061",65,0,0.00%,0,0,0,0,0
Greene County,51079,"1,372",175,2,1.10%,1,0,1,0,0
Greensville County,51081,528,6,0,0.00%,0,0,0,0,0
Halifax County,51083,"2,714",187,4,2.10%,3,0,1,0,0
Hanover County,51085,"6,872",759,2,0.30%,1,0,1,0,0
Henrico County,51087,"21,575","2,838",15,0.50%,10,4,1,0,0
Henry County,51089,"3,911",159,0,0.00%,0,0,0,0,0
Highland County,51091,112,8,0,0.00%,0,0,0,0,0
