Locality,FIPS,Population < 72 Months,Number Tested  Number Confirmed Elevated Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70 µg/dL,,
Accomack County,51001,"2,792",747,6,0.80%,4,0,2,0,0
Albemarle County,51003,"6,000",700,4,0.60%,4,0,0,0,0
Alleghany County,51005,905,127,2,1.60%,2,0,0,0,0
Amelia County,51007,870,113,3,2.70%,3,0,0,0,0
Amherst County,51009,"2,234",334,1,0.30%,1,0,0,0,0
Appomattox County,51011,"1,047",175,2,1.10%,2,0,0,0,0
Arlington County,51013,"12,144","2,477",7,0.30%,4,0,1,2,0
Augusta County,51015,"4,521",540,1,0.20%,1,0,0,0,0
Bath County,51017,279,38,1,2.60%,1,0,0,0,0
Bedford County,51019,"4,290",499,2,0.40%,1,0,1,0,0
Bland County,51021,379,50,0,0.00%,0,0,0,0,0
Botetourt County,51023,"2,107",441,0,0.00%,0,0,0,0,0
Brunswick County,51025,"1,124",204,2,1.00%,1,1,0,0,0
Buchanan County,51027,"1,583",223,5,2.20%,2,2,1,0,0
Buckingham County,51029,926,140,1,0.70%,0,1,0,0,0
Campbell County,51031,"3,678",436,2,0.50%,1,1,0,0,0
Caroline County,51033,"1,690",378,3,0.80%,2,0,1,0,0
Carroll County,51035,"1,998",177,0,0.00%,0,0,0,0,0
Charles City County,51036,472,63,0,0.00%,0,0,0,0,0
Charlotte County,51037,863,217,0,0.00%,0,0,0,0,0
Chesterfield County,51041,"21,322","1,984",10,0.50%,9,1,0,0,0
Clarke County,51043,835,116,1,0.90%,0,1,0,0,0
Craig County,51045,356,53,0,0.00%,0,0,0,0,0
Culpeper County,51047,"2,660",407,1,0.20%,0,0,1,0,0
Cumberland County,51049,689,56,1,1.80%,0,1,0,0,0
Dickenson County,51051,"1,038",99,0,0.00%,0,0,0,0,0
Dinwiddie County,51053,"1,650",150,1,0.70%,0,0,1,0,0
Essex County,51057,635,79,0,0.00%,0,0,0,0,0
Fairfax County,51059,"81,675","8,075",25,0.30%,15,4,6,0,0
Fauquier County,51061,"4,256",221,3,1.40%,1,0,2,0,0
Floyd County,51063,950,77,0,0.00%,0,0,0,0,0
Fluvanna County,51065,"1,567",176,2,1.10%,2,0,0,0,0
Franklin County,51067,"3,147",201,1,0.50%,0,0,1,0,0
Frederick County,51069,"4,657,515",2,0.40%,2,0,0,0,0,
Giles County,51071,"1,138",121,0,0.00%,0,0,0,0,0
Gloucester County,51073,"2,483",116,1,0.90%,1,0,0,0,0
Goochland County,51075,"1,044",214,1,0.50%,1,0,0,0,0
Grayson County,51077,"1,061",66,1,1.50%,1,0,0,0,0
Greene County,51079,"1,372",157,0,0.00%,0,0,0,0,0
Greensville County,51081,528,3,0,0.00%,0,0,0,0,0
Halifax County,51083,"2,714",182,0,0.00%,0,0,0,0,0
Hanover County,51085,"6,872",589,1,0.20%,1,0,0,0,0
Henrico County,51087,"21,575","2,570",16,0.60%,12,4,0,0,0
Henry County,51089,"3,911",168,2,1.20%,1,1,0,0,0
Highland County,51091,112,25,0,0.00%,0,0,0,0,0
Isle of Wight County,51093,"2,190",264,0,0.00%,0,0,0,0,0
James City County,51095,"3,307",241,2,0.80%,2,0,0,0,0
King and Queen County,51097,451,51,2,3.90%,0,1,1,0,0
King George County,51099,"1,510",187,2,1.10%,1,0,0,1,0
King William County,51101,"1,121",79,0,0.00%,0,0,0,0,0
Lancaster County,51103,577,73,4,5.50%,2,1,1,0,0
Lee County,51105,"1,648",342,0,0.00%,0,0,0,0,0
Loudoun County,51107,"19,682","1,872",5,0.30%,3,1,1,0,0
Louisa County,51109,"1,904",309,1,0.30%,1,0,0,0,0
Lunenburg County,51111,784,161,0,0.00%,0,0,0,0,0
Madison County,51113,864,99,0,0.00%,0,0,0,0,0
Mathews County,51115,504,47,0,0.00%,0,0,0,0,0
Mecklenburg County,51117,"2,093",319,6,1.90%,3,1,2,0,0
Middlesex County,51119,452,65,2,3.10%,2,0,0,0,0
Montgomery County,51121,"4,758",282,2,0.70%,0,1,1,0,0
Nelson County,51125,927,150,0,0.00%,0,0,0,0,0
New Kent County,51127,927,92,0,0.00%,0,0,0,0,0
Northampton County,51131,867,237,2,0.80%,1,0,1,0,0
Northumberland County,51133,658,71,3,4.20%,2,0,1,0,0
Nottoway County,51135,"1,057",186,5,2.70%,4,0,1,0,0
Orange County,51137,"1,856",460,2,0.40%,2,0,0,0,0
Page County,51139,"1,599",180,1,0.60%,0,1,0,0,0
Patrick County,51141,"1,359",122,0,0.00%,0,0,0,0,0
Pittsylvania County,51143,"4,194",551,2,0.40%,2,0,0,0,0
Powhatan County,51145,"1,589",116,0,0.00%,0,0,0,0,0
Prince Edward County,51147,"1,178",328,1,0.30%,1,0,0,0,0
Prince George County,51149,"2,402",127,1,0.80%,1,0,0,0,0
Prince William County,51153,"28,789","2,415",8,0.30%,7,1,0,0,0
Pulaski County,51155,"2,339",487,1,0.20%,0,0,1,0,0
Rappahannock County,51157,420,29,0,0.00%,0,0,0,0,0
Richmond County,51159,430,56,1,1.80%,0,0,0,1,0
Roanoke County,51161,"5,587",554,0,0.00%,0,0,0,0,0
Rockbridge County,51163,"1,351",61,0,0.00%,0,0,0,0,0
Rockingham County,51165,"5,163","1,236",4,0.30%,4,0,0,0,0
Russell County,51167,"1,955",233,2,0.90%,2,0,0,0,0
Scott County,51169,"1,487",264,1,0.40%,0,1,0,0,0
Shenandoah County,51171,"2,379",471,0,0.00%,0,0,0,0,0
Smyth County,51173,"2,158",391,3,0.80%,3,0,0,0,0
Southampton County,51175,"1,070",151,1,0.70%,1,0,0,0,0
Spotsylvania County,51177,"8,430",915,2,0.20%,1,1,0,0,0
Stafford County,51179,"8,810",674,2,0.30%,2,0,0,0,0
Surry County,51181,477,56,0,0.00%,0,0,0,0,0
Sussex County,51183,713,155,0,0.00%,0,0,0,0,0
Tazewell County,51185,"2,879",647,3,0.50%,3,0,0,0,0
Warren County,51187,"2,576",143,1,0.70%,1,0,0,0,0
Washington County,51191,"3,147",209,1,0.50%,1,0,0,0,0
Westmoreland County,51193,"1,046",153,0,0.00%,0,0,0,0,0
Wise County,51195,"2,802",216,2,0.90%,1,0,1,0,0
Wythe County,51197,"1,823",439,0,0.00%,0,0,0,0,0
York County,51199,"4,439",84,0,0.00%,0,0,0,0,0
Alexandria,51510,"9,262","2,034",10,0.50%,8,1,1,0,0
Bedford,51515,424,141,0,0.00%,0,0,0,0,0
Bristol,51520,"1,114",164,0,0.00%,0,0,0,0,0
Buena Vista,51530,461,24,0,0.00%,0,0,0,0,0
Charlottesville,51540,"2,368",614,3,0.50%,2,1,0,0,0
Chesapeake,51550,"17,265","1,397",4,0.30%,3,1,0,0,0
Colonial Heights,51570,"1,113",239,1,0.40%,1,0,0,0,0
Covington,51580,471,221,0,0.00%,0,0,0,0,0
Danville,51590,"3,502",866,21,2.40%,10,4,7,0,0
Emporia,51595,436,84,1,1.20%,1,0,0,0,0
Fairfax,51600,"1,538",603,6,1.00%,4,2,0,0,0
Falls Church,51610,690,153,0,0.00%,0,0,0,0,0
Franklin,51620,538,206,1,0.50%,1,0,0,0,0
Fredericksburg,51630,"1,332",336,5,1.50%,4,0,1,0,0
Galax,51640,525,156,1,0.60%,1,0,0,0,0
Hampton,51650,"11,272","1,404",6,0.40%,4,0,2,0,0
Harrisonburg,51660,"2,281",514,0,0.00%,0,0,0,0,0
Hopewell,51670,"2,020",503,1,0.20%,1,0,0,0,0
Lexington,51678,247,23,0,0.00%,0,0,0,0,0
Lynchburg,51680,"4,660","1,142",9,0.80%,7,0,2,0,0
Manassas,51683,"3,636",857,2,0.20%,2,0,0,0,0
Manassas Park,51685,"1,235",370,1,0.30%,1,0,0,0,0
Martinsville,51690,"1,051",107,0,0.00%,0,0,0,0,0
Newport News,51700,"17,107","1,684",12,0.70%,10,1,1,0,0
Norfolk,51710,"19,719","3,772",12,0.30%,6,4,2,0,0
Norton,51720,255,53,0,0.00%,0,0,0,0,0
Petersburg,51730,"2,610",693,18,2.60%,12,3,2,1,0
Poquoson,51735,738,27,0,0.00%,0,0,0,0,0
Portsmouth,51740,"8,555","1,233",10,0.80%,6,1,3,0,0
Radford,51750,661,108,0,0.00%,0,0,0,0,0
Richmond,51760,"14,788","4,136",77,1.90%,58,8,10,1,0
Roanoke,51770,"7,453","2,074",16,0.80%,10,3,3,0,0
Salem,51775,"1,479",484,0,0.00%,0,0,0,0,0
Staunton,51790,"1,493",540,8,1.50%,7,0,1,0,0
Suffolk,51800,"5,586","1,244",10,0.80%,5,3,2,0,0
Virginia Beach,51810,"37,054","2,011",3,0.10%,3,0,0,0,0
Waynesboro,51820,"1,546",471,1,0.20%,1,0,0,0,0
Williamsburg,51830,370,5,0,0.00%,0,0,0,0,0
Winchester,51840,"1,722",376,5,1.30%,3,0,2,0,0
Unknown *,,,"9,723",0.00%,0.00%,0,0,0,0,0
Virginia,,"557,454","82,341",43000.00%,0.50%,299,58,67,6,0
