Locality,FIPS,Population < 36 months,Number Tested,Testing Rate/1000^,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 µg/dL,Confirmed Blood Lead Level Category 15-19 µg/dL,Confirmed Blood Lead Level Category 20-44 µg/dL,Confirmed Blood Lead Level Category 45-69 µg/dL,Confirmed Blood Lead Level Category ≥ 70µg/dL
Accomack County,51001,"1,401",555,396,5,0.90%,3,0,2,0,0
Albemarle County,51003,"2,965",459,155,4,0.90%,4,0,0,0,0
Alleghany County,51005,428,56,131,1,1.80%,0,1,0,0,0
Amelia County,51007,423,45,106,1,2.20%,1,0,0,0,0
Amherst County,51009,"1,055",272,258,1,0.40%,1,0,0,0,0
Appomattox County,51011,500,134,268,2,1.50%,2,0,0,0,0
Arlington County,51013,"6,564","1,815",277,3,0.20%,2,0,1,0,0
Augusta County,51015,"2,197",367,167,1,0.30%,1,0,0,0,0
Bath County,51017,131,20,153,1,5.00%,1,0,0,0,0
Bedford County,51019,"1,996",367,184,0,0.00%,0,0,0,0,0
Bland County,51021,173,25,145,0,0.00%,0,0,0,0,0
Botetourt County,51023,"1,055",186,176,0,0.00%,0,0,0,0,0
Brunswick County,51025,546,62,114,0,0.00%,0,0,0,0,0
Buchanan County,51027,738,132,179,4,3.00%,2,1,1,0,0
Buckingham County,51029,419,74,177,1,1.40%,0,1,0,0,0
Campbell County,51031,"1,748",314,180,0,0.00%,0,0,0,0,0
Caroline County,51033,858,234,273,2,0.90%,2,0,0,0,0
Carroll County,51035,992,129,130,0,0.00%,0,0,0,0,0
Charles City County,51036,242,31,128,0,0.00%,0,0,0,0,0
Charlotte County,51037,398,143,359,0,0.00%,0,0,0,0,0
Chesterfield County,51041,"10,159","1,021",101,4,0.40%,4,0,0,0,0
Clarke County,51043,369,28,76,1,3.60%,0,1,0,0,0
Craig County,51045,163,24,147,0,0.00%,0,0,0,0,0
Culpeper County,51047,"1,315",310,236,0,0.00%,0,0,0,0,0
Cumberland County,51049,350,32,91,0,0.00%,0,0,0,0,0
Dickenson County,51051,535,56,105,0,0.00%,0,0,0,0,0
