Locality,FIPS,Population < 72 Months,Number Tested,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,2792,986,7,0.7,5,2,0,0,0
Albemarle County,51003,6000,700,5,0.7,4,0,1,0,0
Alleghany County,51005,905,100,1,1,0,0,1,0,0
Amelia County,51007,870,131,0,0,0,0,0,0,0
Amherst County,51009,2234,291,0,0,0,0,0,0,0
Appomattox County,51011,1047,171,1,0.6,1,0,0,0,0
Arlington County,51013,12144,3008,11,0.4,10,1,0,0,0
Augusta County,51015,4521,640,0,0,0,0,0,0,0
Bath County,51017,279,44,0,0,0,0,0,0,0
Bedford County,51019,4290,342,0,0,0,0,0,0,0
Bland County,51021,379,63,0,0,0,0,0,0,0
Botetourt County,51023,2107,335,0,0,0,0,0,0,0
Brunswick County,51025,1124,347,1,0.3,1,0,0,0,0
Buchanan County,51027,1583,249,0,0,0,0,0,0,0
Buckingham County,51029,926,193,0,0,0,0,0,0,0
Campbell County,51031,3678,331,3,0.9,1,1,1,0,0
Caroline County,51033,1690,367,1,0.3,1,0,0,0,0
Carroll County,51035,1998,273,0,0,0,0,0,0,0
Charles City County,51036,472,59,0,0,0,0,0,0,0
Charlotte County,51037,863,178,3,1.7,1,0,0,2,0
Chesterfield County,51041,21322,3618,7,0.2,4,2,1,0,0
Clarke County,51043,835,91,2,2.2,1,1,0,0,0
Craig County,51045,356,35,0,0,0,0,0,0,0
Culpeper County,51047,2660,1054,2,0.2,2,0,0,0,0
Cumberland County,51049,689,72,1,1.4,1,0,0,0,0
Dickenson County,51051,1038,88,0,0,0,0,0,0,0
Dinwiddie County,51053,1650,179,2,1.1,2,0,0,0,0
Essex County,51057,635,91,0,0,0,0,0,0,0
Fairfax County,51059,81675,12036,31,0.3,23,3,5,0,0
Fauquier County,51061,4256,613,4,0.7,3,0,1,0,0
Floyd County,51063,950,69,0,0,0,0,0,0,0
Fluvanna County,51065,1567,167,0,0,0,0,0,0,0
Franklin County,51067,3147,210,2,1,1,1,0,0,0
Frederick County,51069,4657,518,1,0.2,1,0,0,0,0
Giles County,51071,1138,74,0,0,0,0,0,0,0
Gloucester County,51073,2483,172,0,0,0,0,0,0,0
Goochland County,51075,1044,371,0,0,0,0,0,0,0
Grayson County,51077,1061,100,0,0,0,0,0,0,0
Greene County,51079,1372,183,0,0,0,0,0,0,0
Greensville County,51081,528,15,0,0,0,0,0,0,0
Halifax County,51083,2714,244,1,0.4,0,0,1,0,0
Hanover County,51085,6872,995,2,0.2,2,0,0,0,0
Henrico County,51087,21575,4338,11,0.3,7,1,3,0,0
Henry County,51089,3911,231,3,1.3,2,0,1,0,0
Highland County,51091,112,12,0,0,0,0,0,0,0
Isle of Wight County,51093,2190,344,0,0,0,0,0,0,0
