Locality,FIPS,Population < 36 Months,Number Tested,Testing Rate/1000^,Number Confirmed Elevated,Percent Confirmed Elevated,Confirmed Blood Lead Level Category 10-14 μg/dL,Confirmed Blood Lead Level Category 15-19 μg/dL,Confirmed Blood Lead Level Category 20-44 μg/dL,Confirmed Blood Lead Level Category 45-69 μg/dL,Confirmed Blood Lead Level Category ≥ 70 μg/dL
Accomack County,51001,1401,724,517,6,0.8,4,2,0,0,0
Albemarle County,51003,2965,572,193,3,0.5,2,0,1,0,0
Alleghany County,51005,428,81,189,1,1.2,0,0,1,0,0
Amelia County,51007,423,71,168,0,0,0,0,0,0,0
Amherst County,51009,1055,224,212,0,0,0,0,0,0,0
Appomattox County,51011,500,127,254,0,0,0,0,0,0,0
Arlington County,51013,6564,2254,343,7,0.3,6,1,0,0,0
Augusta County,51015,2197,435,198,0,0,0,0,0,0,0
Bath County,51017,131,30,229,0,0,0,0,0,0,0
Bedford County,51019,1996,258,129,0,0,0,0,0,0,0
Bland County,51021,173,34,197,0,0,0,0,0,0,0
Botetourt County,51023,1055,171,162,0,0,0,0,0,0,0
Brunswick County,51025,546,166,304,1,0.6,1,0,0,0,0
Buchanan County,51027,738,84,114,0,0,0,0,0,0,0
Buckingham County,51029,419,128,305,0,0,0,0,0,0,0
Campbell County,51031,1748,263,150,2,0.8,0,1,1,0,0
Caroline County,51033,858,222,259,0,0,0,0,0,0,0
Carroll County,51035,992,199,201,0,0,0,0,0,0,0
Charles City County,51036,242,30,124,0,0,0,0,0,0,0
Charlotte County,51037,398,116,291,3,2.6,1,0,0,2,0
Chesterfield County,51041,10159,2123,209,1,0,1,0,0,0,0
Clarke County,51043,369,48,130,1,2.1,0,1,0,0,0
Craig County,51045,163,19,117,0,0,0,0,0,0,0
Culpeper County,51047,1315,729,554,1,0.1,1,0,0,0,0
Cumberland County,51049,350,53,151,1,1.9,1,0,0,0,0
Dickenson County,51051,535,41,77,0,0,0,0,0,0,0
Dinwiddie County,51053,786,87,111,0,0,0,0,0,0,0
Essex County,51057,314,46,146,0,0,0,0,0,0,0
Fairfax County,51059,40580,6931,171,21,0.3,15,2,4,0,0
Fauquier County,51061,2048,410,200,2,0.5,1,0,1,0,0
Floyd County,51063,462,23,50,0,0,0,0,0,0,0
Fluvanna County,51065,762,136,178,0,0,0,0,0,0,0
Franklin County,51067,1520,115,76,1,0.9,1,0,0,0,0
Frederick County,51069,2296,306,133,0,0,0,0,0,0,0
Giles County,51071,581,19,33,0,0,0,0,0,0,0
Gloucester County,51073,1141,82,72,0,0,0,0,0,0,0
Goochland County,51075,492,248,504,0,0,0,0,0,0,0
Grayson County,51077,507,70,138,0,0,0,0,0,0,0
Greene County,51079,668,97,145,0,0,0,0,0,0,0
Greensville County,51081,261,9,34,0,0,0,0,0,0,0
Halifax County,51083,1323,173,131,0,0,0,0,0,0,0
Hanover County,51085,3290,550,167,2,0.4,2,0,0,0,0
Henrico County,51087,10648,2552,240,7,0.3,4,1,2,0,0
Henry County,51089,1920,156,81,2,1.3,1,0,1,0,0
Highland County,51091,58,9,155,0,0,0,0,0,0,0
Isle of Wight County,51093,1047,224,214,0,0,0,0,0,0,0
James City County,51095,1597,220,138,2,0.9,0,2,0,0,0
King and Queen County,51097,220,26,118,0,0,0,0,0,0,0
King George County,51099,715,174,243,1,0.6,1,0,0,0,0
King William County,51101,517,49,95,1,2,1,0,0,0,0
Lancaster County,51103,286,50,175,0,0,0,0,0,0,0
Lee County,51105,808,143,177,0,0,0,0,0,0,0
Loudoun County,51107,9919,976,98,3,0.3,3,0,0,0,0
Louisa County,51109,939,180,192,1,0.6,1,0,0,0,0
Lunenburg County,51111,393,112,285,2,1.8,1,1,0,0,0
Madison County,51113,391,54,138,1,1.9,1,0,0,0,0
Mathews County,51115,230,45,196,1,2.2,1,0,0,0,0
Mecklenburg County,51117,1033,277,268,1,0.4,1,0,0,0,0
Middlesex County,51119,211,74,351,0,0,0,0,0,0,0
Montgomery County,51121,2421,62,26,1,1.6,0,1,0,0,0
Nelson County,51125,469,136,290,2,1.5,1,1,0,0,0
New Kent County,51127,420,80,190,0,0,0,0,0,0,0
Northampton County,51131,437,222,508,2,0.9,1,1,0,0,0
Northumberland County,51133,317,46,145,3,6.5,0,0,1,2,0
Nottoway County,51135,517,146,282,4,2.7,2,0,2,0,0
Orange County,51137,918,182,198,0,0,0,0,0,0,0
Page County,51139,756,129,171,0,0,0,0,0,0,0
Patrick County,51141,675,104,154,0,0,0,0,0,0,0
Pittsylvania County,51143,2100,418,199,0,0,0,0,0,0,0
Powhatan County,51145,786,108,137,0,0,0,0,0,0,0
Prince Edward County,51147,573,269,469,1,0.4,1,0,0,0,0
Prince George County,51149,1159,76,66,0,0,0,0,0,0,0
Prince William County,51153,14421,1881,130,5,0.3,4,1,0,0,0
Pulaski County,51155,1149,182,158,0,0,0,0,0,0,0
Rappahannock County,51157,217,72,332,2,2.8,2,0,0,0,0
Richmond County,51159,213,35,164,2,5.7,2,0,0,0,0
Roanoke County,51161,2627,243,93,0,0,0,0,0,0,0
Rockbridge County,51163,681,47,69,0,0,0,0,0,0,0
Rockingham County,51165,2512,956,381,3,0.3,0,2,1,0,0
Russell County,51167,919,86,94,0,0,0,0,0,0,0
Scott County,51169,708,161,227,1,0.6,1,0,0,0,0
Shenandoah County,51171,1126,163,145,0,0,0,0,0,0,0
Smyth County,51173,1064,364,342,0,0,0,0,0,0,0
Southampton County,51175,532,109,205,0,0,0,0,0,0,0
Spotsylvania County,51177,4013,579,144,1,0.2,1,0,0,0,0
Stafford County,51179,4089,456,112,1,0.2,1,0,0,0,0
Surry County,51181,230,27,117,0,0,0,0,0,0,0
Sussex County,51183,375,88,235,1,1.1,1,0,0,0,0
Tazewell County,51185,1358,293,216,2,0.7,2,0,0,0,0
